dt,g' mag,g' magerr,r' mag,r' magerr,i' mag,i' magerr,z' mag,z' magerr,J mag,J magerr,H mag,H magerr
0.0145,18.998,0.086,18.835,0.048,18.7,0.052,18.511,0.056,18.261,0.106,18.182,0.171
1.0404,18.693,0.043,18.559,0.041,18.37,0.043,18.246,0.042,18.061,0.057,17.801,0.068
2.0066,19.087,0.045,18.9,0.042,18.81,0.044,18.48,0.044,18.34,0.062,18.269,0.079
3.0189,19.087,0.043,18.939,0.041,18.99,0.043,18.539,0.043,18.555,0.064,18.412,0.079
4.0154,18.921,0.042,18.743,0.041,18.96,0.043,18.461,0.043,18.456,0.063,18.442,0.086
5.018,18.747,0.042,18.559,0.041,18.95,0.043,18.319,0.043,,,18.59,0.083
6.0244,18.588,0.042,18.36,0.041,18.89,0.043,18.253,0.042,18.323,0.06,18.503,0.08
7.0078,18.378,0.043,18.12,0.041,,,18.048,0.042,18.251,0.067,18.491,0.096
8.0095,18.331,0.042,18.039,0.041,18.68,0.042,18.04,0.043,18.184,0.08,18.541,0.102
8.9806,18.24,0.041,17.93,0.041,18.61,0.042,17.956,0.041,18.117,0.069,18.313,0.091
10.9902,18.154,0.041,17.749,0.041,18.44,0.043,17.868,0.043,18.007,0.073,18.408,0.095
12.0265,18.168,0.041,17.677,0.041,18.37,0.041,17.792,0.041,17.836,0.056,18.254,0.074
14.0005,,,17.596,0.045,18.28,0.045,17.695,0.04,,,,
15.0141,18.344,0.041,17.616,0.04,18.23,0.041,17.721,0.041,17.796,0.055,18.189,0.07
16.0146,18.437,0.041,17.636,0.04,18.2,0.041,17.719,0.041,17.792,0.058,18.187,0.08
16.9808,18.512,0.041,17.633,0.04,18.16,0.041,17.707,0.041,17.804,0.055,18.223,0.07
17.9892,18.639,0.043,17.695,0.041,18.18,0.043,17.758,0.042,17.799,0.067,18.232,0.1
19.0471,18.742,0.041,17.725,0.04,18.15,0.041,17.734,0.041,17.76,0.055,18.096,0.069
20.01,18.825,0.041,17.768,0.041,18.16,0.041,17.773,0.041,17.687,0.054,18.063,0.07
21.02,18.924,0.041,17.815,0.041,18.16,0.041,17.801,0.041,17.767,0.053,18.097,0.07
23.0096,19.044,0.041,17.935,0.041,18.19,0.041,17.844,0.041,17.779,0.055,18.155,0.07
25.0149,19.167,0.042,18.042,0.041,18.23,0.041,17.924,0.041,17.873,0.06,18.246,0.08
27.0138,19.177,0.044,18.13,0.042,18.32,0.042,17.981,0.042,17.859,0.058,,
29.99,19.5,0.02,18.38,0.01,18.48,0.01,18.14,0.01,18.09,0.04,18.36,0.07
31.98,19.58,0.02,18.51,0.01,18.62,0.02,18.27,0.02,18.21,0.03,18.43,0.05
34.02,19.45,0.01,18.56,0.01,18.64,0.01,18.26,0.01,18.4,0.04,18.73,0.06
36.97,19.63,0.01,18.68,0.01,18.73,0.01,18.37,0.01,18.57,0.05,18.72,0.07
39.98,19.63,0.01,18.79,0.01,18.83,0.01,18.44,0.01,18.57,0.04,18.89,0.07
42.99,19.74,0.01,18.89,0.01,18.91,0.01,18.5,0.01,18.9,0.05,19.02,0.07
46.01,19.76,0.01,18.95,0.01,18.92,0.01,18.55,0.02,18.84,0.04,18.96,0.08
48.99,19.77,0.01,18.98,0.01,19,0.01,18.63,0.01,18.95,0.04,18.99,0.06
51.98,19.86,0.01,19.1,0.01,19.07,0.01,18.69,0.01,19.08,0.06,19.27,0.09
54.99,19.82,0.02,19.16,0.01,19.1,0.01,18.75,0.01,19.04,0.07,19.18,0.1
58,19.91,0.03,19.23,0.02,19.14,0.03,18.75,0.03,19.1,0.07,19.08,0.07
62.03,19.88,0.04,19.42,0.03,19.26,0.06,19.02,0.04,16.93,0.26,,
67.99,19.89,0.02,19.34,0.01,19.29,0.01,19.02,0.02,19.81,0.13,,
74.98,19.96,0.01,19.41,0.01,19.34,0.01,19.04,0.02,20.04,0.13,20.57,0.4
86.92,20.26,0.2,,,19.83,0.21,19.66,0.21,,,,
148.82,20.39,0.02,19.95,0.01,19.75,0.02,19.56,0.02,20.4,0.16,,
182.65,20.38,0.01,,,,,,,,,,